degree,count,probability
1,102,0.10504634397528322
2,124,0.12770339855818744
3,99,0.101956745623069
4,62,0.06385169927909372
5,55,0.05664263645726056
6,62,0.06385169927909372
7,53,0.05458290422245108
8,39,0.04016477857878476
9,39,0.04016477857878476
10,33,0.03398558187435633
11,22,0.02265705458290422
12,18,0.018537590113285273
13,21,0.021627188465499485
14,16,0.016477857878475798
15,13,0.013388259526261586
16,15,0.015447991761071062
17,16,0.016477857878475798
18,11,0.01132852729145211
19,9,0.009268795056642637
20,10,0.010298661174047374
21,8,0.008238928939237899
22,9,0.009268795056642637
23,8,0.008238928939237899
24,8,0.008238928939237899
25,7,0.007209062821833162
26,9,0.009268795056642637
27,4,0.004119464469618949
28,7,0.007209062821833162
29,2,0.0020597322348094747
30,7,0.007209062821833162
31,1,0.0010298661174047373
32,1,0.0010298661174047373
33,4,0.004119464469618949
34,2,0.0020597322348094747
35,2,0.0020597322348094747
36,4,0.004119464469618949
37,5,0.005149330587023687
38,3,0.003089598352214212
39,3,0.003089598352214212
40,6,0.006179196704428424
41,2,0.0020597322348094747
42,3,0.003089598352214212
43,3,0.003089598352214212
44,2,0.0020597322348094747
45,1,0.0010298661174047373
47,3,0.003089598352214212
48,3,0.003089598352214212
49,1,0.0010298661174047373
50,6,0.006179196704428424
52,5,0.005149330587023687
53,2,0.0020597322348094747
54,1,0.0010298661174047373
56,1,0.0010298661174047373
58,2,0.0020597322348094747
62,1,0.0010298661174047373
63,1,0.0010298661174047373
68,2,0.0020597322348094747
71,2,0.0020597322348094747
74,1,0.0010298661174047373
76,2,0.0020597322348094747
78,1,0.0010298661174047373
80,1,0.0010298661174047373
91,1,0.0010298661174047373
98,1,0.0010298661174047373
100,1,0.0010298661174047373
106,1,0.0010298661174047373
149,1,0.0010298661174047373
175,1,0.0010298661174047373
